#,单词,音标,解释,笔记
708,"incubus","英:/'ɪŋkjʊbəs/ 美:/'ɪŋkjʊbəs/","n. 梦魇；沉重的负担


复 数: 
incubi",
709,"stupefy","英:/'stjuːpɪfaɪ/ 美:/'stupɪfaɪ/","vt. 使惊呆；使昏迷


时 态:  
stupefied, stupefying, stupefies",
710,"superstition","英:/ˌsuːpə'stɪʃ(ə)n/ 美:/ˌsupɚ'stɪʃən/","n. 迷信, 迷信行为",
711,"embitter","英:/ɪm'bɪtə/ 美:/ɪm'bɪtɚ/","vt. 使怨恨；使难受；使受苦


时 态:  
embittered, embittering, embitters",
712,"gnawing","/'nɔː(r)ɪŋ/","- adj. 令人痛苦的；折磨人的
- n. 咬；不断的苦痛
- v. 咬；侵蚀（gnaw的ing形式）",
713,"harrowing","英:/ˈhærəʊɪŋ/ 美:/'hæroɪŋ/","adj. 令人伤心的,令人痛苦的",
714,"infliction","英:/ɪn'flɪkʃ(ə)n/ 美:/ɪnˈflɪkʃən/","- n. 施加，蒙受；施加的事物；痛苦的经历
-",
715,"irksome","英:/'ɜːks(ə)m/ 美:/'ɝksəm/","adj. 令人厌烦的，讨厌的；令人厌恶的


副 词:  
irksomely",
716,"mortify","英:/'mɔːtɪfaɪ/ 美:/'mɔrtɪfaɪ/","- vt. 使受辱,伤害(人的感情)
- 克制,抑制(肉体、情感等)
- vi. (指肌肤)变成坏疽

时 态:  
mortified, mortifying, mortifies",
717,"twinge","英:/twɪn(d)ʒ/ 美:/twɪndʒ/","- n. 阵痛；悔恨
- vt. 使刺痛；使感到剧痛
- vi. 感到剧痛；刺痛


时 态:  
twinged, twinging, twinges",
718,"woe","英:/wəʊ/ 美:/wo/","- n. 悲哀，悲痛；灾难
- int. 唉（表示痛苦，悲伤或悔恨）",
719,"animosity","英:/ˌænɪ'mɒsɪtɪ/ 美:/'ænə'mɑsəti/","n. 憎恨, 仇恨, 敌意",
720,"animus","英:/'ænɪməs/ 美:/'ænɪməs/","n. 敌意；意图；基本态度；[心]女性的男性意向",
721,"abhorrent","英:/əbˈhɒrənt/ 美:/əbˈhɔːrənt/","- adj. 令人厌恶的
- (be ～ of)憎恶的；讨厌的
- (be ～ to)相抵触的；不符的
- (be ～ from)不相容的；背离的
- (be ～ from)持异议的；强烈反对的
- adv. 令人厌恶地",
722,"execration","英:/ˌeksɪ'kreɪʃən/ 美:/ˌɛksɪˈkreʃən/","n. 诅咒，憎恶；被诅咒之人或物",
723,"revulsion","英:/rɪ'vʌlʃ(ə)n/ 美:/rɪ'vʌlʃən/","n. 厌恶, 强烈的反感

形容词:  
revulsive",
724,"vendetta","英:/ven'detə/ 美:/vɛn'dɛtə/","- n. 家族世仇;族间仇杀
- 长期争斗;积怨",
725,"loathing","英:/'ləʊðɪŋ/ 美:/'loðɪŋ/","- n. 嫌恶
- adj. 厌恶的
- vt. 讨厌（loathe的ing形式）",
726,"buxom","英:/'bʌks(ə)m/ 美:/'bʌksəm/","adj. （妇女）丰满的；健美的


副 词:  
buxomly",
727,"cherubic","/tʃɛ'rʊbɪk/","adj. 可爱的；天使的；无邪的",
728,"corpulent","英:/'kɔːpjʊl(ə)nt/ 美:/'kɔrpjələnt/","adj. (指人或人的身体)肥胖的",
729,"corpulence","英:/'kɔːpjʊləns/ 美:/'kɔrpjələns/","n. 肥胖",
730,"paunchy","英:/'pɔ:ntʃi/ 美:/ˈpɔntʃi/","adj. 大肚子的

比较级:  
paunchier, paunchiest",
731,"rotund","英:/rə(ʊ)'tʌnd/ 美:/ro'tʌnd/","adj. 洪亮的；圆胖的


名 词:  
rotundity

副 词:  
rotundly",
732,"stocky","英:/'stɒkɪ/ 美:/'stɑki/","adj. (指人、动物、植物)粗短而结实的,矮而粗壮的

比较级:  
stockier, stockiest 

副 词:  
stockily",
733,"brawny","英:/'brɔːnɪ/ 美:/'brɔni/","adj. 强壮的；肌肉结实的


比较级:  
brawnier, brawniest 

名 词:  
brawniness",
734,"burly","英:/'bɜːlɪ/ 美:/'bɝli/","adj. (指人)魁梧的, 健壮的

比较级:  
burlier, burliest 

名 词:  
burliness",
735,"stalwart","英:/'stɔːlwət/ 美:/'stɔlwɚt/","- n. 忠实拥护者
- adj. 强壮的, 结实的, 坚定的",
736,"virile","英:/'vɪraɪl/ 美:/'vɪrəl/","adj. 男性的；有男子气概的；刚健的",
737,"virility","英:/vi'riləti/ 美:/vəˈrɪlɪti/","n. 男子气；男子特点；生殖力",
738,"angular","英:/'æŋgjʊlə/ 美:/'æŋɡjəlɚ/","adj. 有角的；生硬的，笨拙的；瘦削的


副 词:  
angularly",
739,"haggard","英:/'hægəd/ 美:/'hæɡɚd/","- adj. 憔悴的；野性的
- n. 野鹰

Haggard哈格德(姓氏)

名 词:  
haggardness",
740,"peaky","英:/'piːkɪ/ 美:/'piki/","adj. 多峰的；尖峰的；憔悴的",
741,"spindly","英:/'spɪndlɪ/ 美:/'spɪndli/","adj. 细长的；纺锤形的


比较级:  
spindlier, spindliest",
742,"willowy","英:/'wɪləʊɪ/ 美:/'wɪloi/","adj. 苗条的；柔软的


比较级:  
willowier, willowiest",
743,"grievance","英:/'griːv(ə)ns/ 美:/'grivəns/","n. 委屈, 苦衷, 不满, 怨恨",
744,"gripe","英:/graɪp/ 美:/ɡraɪp/","- n. 控制；发牢骚；肠绞痛
- vt. 绞痛；握紧；惹恼
- vi. 抱怨，发牢骚；肠绞痛


时 态:  
griped, griping, gripes 

名 词:  
griper",
745,"grouch","英:/graʊtʃ/ 美:/ɡraʊtʃ/","- n. 心怀不满；不高兴的人；抱怨
- vi. 发牢骚；闹脾气；抱怨


时 态:  
grouched, grouching, grouches",
746,"grumble","英:/'grʌmb(ə)l/ 美:/'ɡrʌmbl/","- vi. 抱怨；嘟囔
- n. 怨言
- vt. 喃喃地说出
- adj. 抱怨地表示；嘟囔地说


时 态:  
grumbled, grumbling, grumbles 

名 词:  
grumbler

副 词:  
grumblingly",
747,"raillery","英:/'reɪlərɪ/ 美:/'reləri/","n. 善意的嘲笑,逗弄",
748,"scoff","英:/skɒf/ 美:/skɔf/","- n. 嘲笑；愚弄；笑柄
- vt. 嘲笑；嘲弄；贪婪地吃
- vi. 嘲笑；嘲弄；狼吞虎咽


时 态:  
scoffed, scoffing, scoffs 

名 词:  
scoffer

副 词:  
scoffingly

名 词:  
scoffer",
749,"derision","英:/dɪ'rɪʒ(ə)n/ 美:/dɪ'rɪʒn/","n. 嘲笑；嘲笑的对象",
750,"meritorious","英:/ˌmerɪ'tɔːrɪəs/ 美:/'mɛrə'tɔrɪəs/","adj. 值得称赞的",
751,"ovation","英:/ə(ʊ)'veɪʃ(ə)n/ 美:/o'veʃən/","n. 热烈欢迎；大喝采",
752,"plaudit","英:/'plɔːdɪt/ 美:/ˈplɔdɪt/","n. 喝彩；赞美",
753,"puffery","英:/'pʌf(ə)rɪ/ 美:/ˈpʌfəri/","n. 夸大广告；吹捧；极力称赞",
754,"rhapsody","英:/'ræpsədɪ/ 美:/'ræpsədi/","n. 狂诗；[音]狂想曲",
755,"traduce","英:/trə'djuːs/ 美:/trə'dus/","vt. 中伤；诽谤；背叛


时 态:  
traduced, traducing, traduces 

名 词:  
traducement

名 词:  
traducer",
756,"sidesplitting","英:/'saɪd,splɪtɪŋ/ 美:/'saɪd,splɪtɪŋ/","adj. 令人捧腹大笑的;滑稽透顶的",
757,"snide","英:/snaɪd/ 美:/snaɪd/","- adj. 伪造的；卑鄙的；暗讽的
- n. 赝品；骗子


比较级:  
snider, snidest 

副 词:  
snidely",
758,"waggish","英:/'wægɪʃ/ 美:/'wæɡɪʃ/","adj. 爱开玩笑的；滑稽的",
759,"skit","英:/skɪt/ 美:/skɪt/","n. 讽刺文；滑稽短剧",
760,"cringing","","adj. 谄媚的, 奉承的@n. 谄媚，奉承@动词cringe的现在分词形式",
761,"ingratiate","英:/ɪn'greɪʃɪeɪt/ 美:/ɪn'ɡreʃɪet/","vt. 讨好,谄媚

时 态:  
ingratiated, ingratiating, ingratiates 

名 词:  
ingratiation

形容词:  
ingratiatory",
762,"pander","英:/'pændə/ 美:/'pændɚ/","- vi. 勾引；迎合；怂恿；拉皮条
- n. 怂恿者；拉皮条者；老鸨
- vt. 为…拉皮条


时 态:  
pandered, pandering, panders 

名 词:  
pander",
763,"declaim","英:/dɪ'kleɪm/ 美:/dɪ'klem/","- vt. & vi. (像演讲般)说话
- vi. 抨击

时 态:  
declaimed, declaiming, declaims 

名 词:  
declaimer",
764,"declamation","英:/deklə'meɪʃ(ə)n/ 美:/'dɛklə'meʃən/","n. 雄辩；朗诵",
765,"gab","英:/gæb/ 美:/ɡæb/","- vi. 空谈；瞎扯闲聊；唠叨
- n. 多嘴；饶舌；爱说话唠叨


时 态:  
gabbed, gabbing, gabs 

名 词:  
gabber",
766,"magniloquent","英:/mæg'nɪləkwənt/ 美:/mæg'nɪləkwənt/","- adj. (说话)夸张的,自负的,华而不实的
- 吹牛的,唱高调的

名 词:  
magniloquence",
767,"rodomontade","英:/ˌrɒdə(ʊ)mɒn'teɪd/ 美:/ˌrɑdəmɑnˈted/","- adj. 吹牛的
- n. 吹牛；大言不惭
- vi. 大言不惭


时 态:  
rodomontaded, rodomontading, rodomontades",
768,"stilted","英:/'stɪltɪd/ 美:/'stɪltɪd/","adj. (动作或言语)生硬的,不自然的",
769,"arraign","英:/ə'reɪn/ 美:/əˈren/","- vt. 告发,控告；传讯
- 指责,责难

时 态:  
arraigned, arraigning, arraigns 

名 词:  
arraignment",
770,"anathematize","英:/ə'næθəmətaɪz/ 美:/ə'næθəmə,taɪz/","v. 开除教籍,诅咒,咒逐

时 态:  
anathematized, anathematizing, anathematizes",
771,"chastise","英:/tʃæ'staɪz/ 美:/tʃæ'staɪz/","vt. 严惩(某人)(尤指责打)

时 态:  
chastised, chastising, chastises 

形容词:  
chastisable

名 词:  
chastisement

名 词:  
chastiser",
772,"denunciate","/dɪ'nʌnsɪeɪt/","vt. 公开指责,公然抨击,谴责",
773,"flay","英:/fleɪ/ 美:/fle/","vt. 剥皮；掠夺；严厉批评


时 态:  
flayed, flaying, flays 

名 词:  
flayer",
774,"impugn","英:/ɪm'pjuːn/ 美:/ɪmˈpjun/","vt. 责难；驳斥


时 态:  
impugned, impugning, impugns 

形容词:  
impugnable",
775,"rebuke","英:/rɪ'bjuːk/ 美:/rɪ'bjʊk/","- vt. 责难或指责
- n. 非难；责难

时 态:  
rebuked，rebuking，rebukes",
776,"reprimand","英:/ˈreprəˌmænd/ 美:/'rɛprɪmænd/","- n. 训斥, 惩戒
- vt. 申斥, 惩戒, 谴责

时 态:  
reprimanded, reprimanding, reprimands",
777,"animadversion","英:/ˌænɪməd'vɜːʃ(ə)n/ 美:/ˌænəmæd'vɝʃən/","n. 批评；非难；评语",
778,"colloquy","英:/'kɒləkwɪ/ 美:/'kɑləkwi/","n. 以对话体写的文章；谈话，会话


复 数: 
colloquies",
779,"ejaculate","英:/ɪ'dʒækjʊleɪt/ 美:/ɪ'dʒækjulet/","- vt. 突然说出
- 射出(液体)
- n. 射出
- 突然的喊出
- n. 射出者；射出器；突然喊叫者

时 态:  
ejaculated，ejaculating，ejaculates 

名 词:  
ejaculator",
780,"halting","英:/'hɔːltɪŋ/ 美:/'hɔltɪŋ/","- adj. 犹豫的；蹒跚的；跛的
- v. 停止；蹒跚；犹豫（halt的ing形式）",
781,"shuffle","英:/'ʃʌf(ə)l/ 美:/'ʃʌfl/","vi. 拖着脚走；把脚动来动去；坐立不安；洗牌；把……变换位置；调动；搪塞
n. 洗牌；拖着脚走，曳行；曳步舞，曳步动作；改组；慢切分节奏；随机播放装置

时 态:  
shuffled, shuffling, shuffles",
782,"slur","英:/slɜː/ 美:/slɝ/","- vt. 忽视；草率地看过；含糊地念；诋毁
- vi. 含糊地发音；潦草地写字；拖着脚走
- n. 污点；诽谤；连音符


时 态:  
slurred, slurring, slurs",
783,"twaddle","英:/'twɒd(ə)l/ 美:/'twɑdl/","- n. 废话，闲聊
- vi. 讲废话


时 态:  
twaddled, twaddling, twaddles 

名 词:  
twaddler",
784,"avocation","英:/ˌævə'keɪʃ(ə)n/ 美:/'ævo'keʃən/","- n. 业余爱好；嗜好
- 职业

形容词:  
avocational",
785,"bent","英:/bent/ 美:/bɛnt/","- adj. 弯的
- 决心的,决意的
- 正在往某地去的
- 不老实的；不正派的；腐败的
- 发疯的；古怪的
- 不正常的；搞同性恋的
- (物品)偷来的
- n. 倾向, 爱好
- 排架；横向构架
- 苇草；荒地
- 草茎；草梗",
786,"endearing","英:/ɪn'dɪərɪŋ/ 美:/ɪn'dɪrɪŋ/","adj. 使人喜欢的;讨人喜欢的",
787,"gusto","英:/'gʌstəʊ/ 美:/ˈɡʌsto/","n. 热情,乐趣,津津有味",
788,"predisposition","英:/priːdɪspə'zɪʃn/ 美:/'pridɪspə'zɪʃən/","n. 易染病体质；素质；倾向",
789,"purport","英:/pə'pɔːt/ 美:/'pɝpɔt/","- vt. 声称；意指；意图；打算
- n. 意义，主旨；意图


时 态:  
purported, purporting, purports",
790,"allusion","英:/ə'luːʒ(ə)n/ 美:/ə'lʊʒən/","n. 暗指, 间接提到",
791,"inkling","英:/'ɪŋklɪŋ/ 美:/'ɪŋklɪŋ/","n. 想法;暗示;迹象",
792,"insinuate","英:/ɪn'sɪnjʊeɪt/ 美:/ɪn'sɪnjuet/","- vt. 暗示,旁敲侧击
- 巧妙或迂回地潜入
- 钻营；钻谋；活动

时 态:  
insinuated, insinuating, insinuates 

形容词:  
insinuative",
793,"bespeak","英:/bɪ'spiːk/ 美:/bɪˈspik/","vt. 表示；预约；证明；预示；显示


时 态:  
bespoke 
bespoken , bespoke 
bespeaking, bespeaks",
794,"rendition","英:/ren'dɪʃ(ə)n/ 美:/rɛn'dɪʃən/","n. 演唱, 表演",
795,"amortize","英:/ˈæməˌtaɪz/ 美:/'æmɚtaɪz/","vt. 分期偿还(债务)

时 态:  
amortized, amortizing, amortizes 

形容词:  
amortizable",
796,"insolvency","英:/ɪn'sɒlv(ə)nsɪ/ 美:/ɪn'sɑlvənsi/","n. 无力偿还,破产",
797,"liquidate","英:/'lɪkwɪdeɪt/ 美:/'lɪkwɪdet/","- vt. 清偿, 结算
- 清算
- 清除(某人), 消灭

时 态:  
liquidated, liquidating, liquidates 

名 词:  
liquidation

名 词:  
liquidator",
798,"ransom","英:/'ræns(ə)m/ 美:/'rænsəm/","- vt. 赎回，赎；勒索赎金；得赎金后释放；[宗]救赎
- n. 赎金；赎身，赎回

Ransom兰塞姆(姓氏)

时 态:  
ransomed, ransoming, ransoms 

名 词:  
ransomer",
799,"recompense","英:/'rekəmpens/ 美:/'rɛkəm'pɛns/","- vt. 赔偿；酬谢
- vi. 赔偿
- n. 赔偿；报酬


时 态:  
recompensed, recompensing, recompenses",
800,"reimburse","英:/ˌriːɪm'bɜːs/ 美:/ˌriɪm'bɝs/","vt. 偿还；付还

时 态:  
reimbursed, reimbursing, reimburses 

名 词:  
reimbursement",
801,"remunerate","英:/rɪ'mjuːnəreɪt/ 美:/rɪ'mjunəret/","vt. 酬劳

时 态:  
remunerated, remunerating, remunerates 

名 词:  
remunerator",
802,"reparation","英:/ˌrepə'reɪʃ(ə)n/ 美:/ˌrɛpə'reʃən/","n. 赔款;补偿;赔偿",
803,"welsh","英:/welʃ/ 美:/wɛlʃ/","- vi. 赖帐，赖赌债逃走；逃避责任
- vt. 逃避责任；对…不守诺言


时 态:  
welshedalso welched 
welshingwelching 
welsheswelches   

名 词:  
welsher",
804,"outstrip","英:/aʊt'strɪp/ 美:/ˌaʊt'strɪp/","vt. 做得比…更好；(在赛跑等中)超过

时 态:  
outstripped，outstripping，outstrips",
805,"deference","英:/'def(ə)r(ə)ns/ 美:/'dɛfərəns/","n. 顺从",
806,"enshrine","英:/ɪn'ʃraɪn/ 美:/ɪn'ʃraɪn/","vt. 把…置于神龛内；把…奉为神圣；铭记，珍藏


时 态:  
enshrined, enshrining, enshrines 

名 词:  
enshrinement",
807,"fetish","英:/'fetɪʃ/ 美:/'fɛtɪʃ/","n. 迷信；偶像；恋物（等于fetich）",
808,"obeisance","英:/ə(ʊ)'beɪs(ə)ns/ 美:/o'bisns/","- n. 敬礼,行礼
- 敬意",
809,"venerate","英:/'venəreɪt/ 美:/'vɛnəret/","vt. 崇敬，尊敬


时 态:  
venerated, venerating, venerates 

名 词:  
venerator",
810,"disentangle","英:/dɪsɪn'tæŋg(ə)l/ 美:/ˌdɪsɪn'tæŋɡl/","vt. 解开…的结,从(乱麻、纠葛中)解脱出来

时 态:  
disentangled, disentangling, disentangles 

名 词:  
disentanglement",
811,"marshal","英:/'mɑːʃ(ə)l/ 美:/ˈmɑrʃəl/","- n. 元帅；司仪
- vt. 整理；引领；编列
- vi. 排列

Marshal马歇尔(男子名)

时 态:  
marshaledalso marshalled 
marshalingmarshalling 
marshalsmarshals",
812,"snatch","英:/snætʃ/ 美:/snætʃ/","- n. 抢夺；小量；抓举
- vt. 夺得；抽空做；及时救助
- vi. 抢走；很快接受


时 态:  
snatched, snatching, snatches 

名 词:  
snatcher",
813,"catcall","英:/'kætkɔːl/ 美:/'kætkɔl/","- n. 不满之声,嘘声
- v. 发嘘声

时 态:  
catcalled, catcalling, catcalls",
814,"headway","英:/'hedweɪ/ 美:/'hɛd,we/","n. 前进；进步；航行速度；间隔时间",
815,"luxuriate","英:/lʌg'ʒʊərɪeɪt/ 美:/lʌɡ'ʒʊrɪet/","vi. 茂盛的生长,生活奢侈,沉溺

时 态:  
luxuriated, luxuriating, luxuriates",
816,"germinal","英:/'dʒɜːmɪn(ə)l/ 美:/'dʒɝmənl/","adj. 胚种的；幼芽的；原始的

Germinal播种月(阳历 3月21日至 4月19日) 法国革命历第7月",
817,"transpire","英:/træn'spaɪə/ 美:/træn'spaɪɚ/","vi. 发生；蒸发；泄露
vt. 使蒸发；使排出

时 态:  
transpired, transpiring, transpires",
818,"disclaim","英:/dɪs'kleɪm/ 美:/dɪs'klem/","- vt. 拒绝承认；放弃，弃权；否认，拒绝
- vi. 否认；放弃；弃权


时 态:  
disclaimed, disclaiming, disclaims",
819,"forgo","英:/fɔː'gəʊ/ 美:/fɔrˈɡo/","vt. & vi. 没有也行,放弃

时 态:  
forwent 
forgone 
forgoing, forgoes",
820,"forswear","英:/fɔː'sweə/ 美:/fɔr'swɛr/","- vt. 发誓抛弃,坚决放弃
- 发伪誓,作伪证

时 态:  
forswore 
forsworn 
forswearing, forswears",
821,"jettison","英:/'dʒetɪs(ə)n/ 美:/'dʒɛtɪsn/","vt. 抛弃,丢弃

时 态:  
jettisoned, jettisoning, jettisons",
822,"renunciate","/rɪ'nʌnsɪeɪt/","v. 放弃,抛弃,宣布中止",
823,"waive","英:/weɪv/ 美:/wev/","vt. 放弃；搁置


时 态:  
waived, waiving, waives",
824,"derelict","英:/'derəlɪkt/ 美:/'dɛrəlɪkt/","- adj. 玩忽职守的；被抛弃了的；无主的
- n. 遗弃物；玩忽职守者；被遗弃的人",
825,"desuetude","英:/'deswɪtjuːd/ 美:/'dɛswɪ,tjʊd/","n. 废弃,不用",
826,"ravage","英:/'rævɪdʒ/ 美:/'rævɪdʒ/","- vt. 毁坏；掠夺；破坏
- n. 蹂躏，破坏
- vi. 毁坏；掠夺


时 态:  
ravaged, ravaging, ravages 

名 词:  
ravager",
827,"imputation","英:/ˌɪmpjuː'teɪʃən/ 美:/ˌɪmpjʊ'teʃən/","- n. 归罪;负责
- 诋毁；非难;污名

形容词:  
imputative

副 词:  
imputatively",
828,"impute","英:/ɪm'pjuːt/ 美:/ɪmˈpjut/","vt. 归罪于，归咎于；嫁祸于


时 态:  
imputed, imputing, imputes",
829,"deciduous","英:/dɪ'sɪdjʊəs/ 美:/dɪ'sɪdʒuəs/","adj. (指树木)每年落叶的",
830,"disembody","英:/dɪsɪm'bɒdɪ/ 美:/ˌdɪsɪm'bɑdi/","vt. 使脱离肉体(或躯壳)

时 态:  
disembodied, disembodying, disembodies 

名 词:  
disembodiment",
831,"disjunction","英:/dɪs'dʒʌŋ(k)ʃ(ə)n/ 美:/dɪs'dʒʌŋkʃən/","n. 分离",
832,"dissociate","英:/dɪ'səʊʃɪeɪt/ 美:/dɪ'soʃɪet/","- vt. 使分离
- vi. 分离

时 态:  
dissociated, dissociating, dissociates 

形容词:  
dissociative",
833,"dissociation","英:/dɪ,səʊʃɪ'eɪʃ(ə)n/ 美:/dɪ,sosɪ'eʃən/","- n. 分离; 离解; 脱离关系
- 解体; 分裂",
834,"expatriate","英:/ɪks'pætrɪət/ 美:/ɛkˈspetriˌet/","n. 侨民；放弃本国国籍的人

时 态:  
expatriated, expatriating, expatriates 

名 词:  
expatriation",
835,"insulate","英:/'ɪnsjʊleɪt/ 美:/'ɪnsəlet/","vt. 隔离，使孤立；[物]使绝缘，使隔热


时 态:  
insulated, insulating, insulates",
836,"sequester","英:/sɪ'kwestə/ 美:/sɪ'kwɛstɚ/","- vt. 使隔绝；使隔离
- 扣押

时 态:  
sequestered，sequestering，sequesters",
837,"compartmentalize","英:/kɒmpɑːt'ment(ə)laɪz/ 美:/ˌkɑmpɑrtˈmɛntlˌaɪz/","vt. 划分

时 态:  
compartmentalized, compartmentalizing, compartmentalizes 

名 词:  
compartmentalization",
838,"dissolution","英:/dɪsə'luːʃ(ə)n/ 美:/ˌdɪsə'luʃən/","- n. (社团等)解散；(婚约等的)解除
- 分散；溶解
- 衰败；死亡，消亡
-  离婚",
839,"disintegration","英:/dis,inti'ɡreiʃən/ 美:/dɪsˌɪntɪˈɡreʃən/","- n. 瓦解;崩溃
- 裂变;蜕变",
840,"cleavage","英:/'kliːvɪdʒ/ 美:/'klivɪdʒ/","- n. 裂缝,裂痕
- (妇女的)乳沟",
841,"cleft","英:/kleft/ 美:/klɛft/","- adj. 劈开的；分裂的
- n. 裂缝；龟裂
- v. 劈开；分开（cleave的过去式和过去分词）",
842,"crumple","英:/'krʌmp(ə)l/ 美:/'krʌmpl/","- vt. 弄皱；使一蹶不振
- vi. 起皱；倒坍；一蹶不振
- n. 皱纹；褶皱


时 态:  
crumpled, crumpling, crumples 

形容词:  
crumply",
843,"disperse","英:/dɪ'spɜːs/ 美:/dɪ'spɝs/","vt. & vi. (使)散开, 驱散

时 态:  
dispersed, dispersing, disperses 

名 词:  
dispersant

副 词:  
dispersedly

名 词:  
disperser

形容词:  
dispersible",
844,"fissile","英:/'fɪsaɪl/ 美:/'fɪsl/","adj. 分裂性的；易分裂的


名 词:  
fissility",
845,"gape","英:/geɪp/ 美:/ɡep/","- vi. 裂开，张开；打呵欠
- n. 裂口，张嘴；呵欠


时 态:  
gaped, gaping, gapes",
846,"imbroglio","英:/ɪm'brəʊlɪəʊ/ 美:/ɪm'brolɪo/","n. 一团糟,错综复杂的局面",
847,"maul","英:/mɔːl/ 美:/mɔl/","- n. 大槌
- vt. 打伤；殴打；抨击；粗暴对待


时 态:  
mauledalso malled 
maulingmalling 
maulsmalls  

名 词:  
mauler",
848,"slit","英:/slɪt/ 美:/slɪt/","- vt. 撕裂；使有狭缝
- n. 裂缝；投币口
- vi. 纵裂


时 态:  
slit, slitting, slits 

名 词:  
slitter

形容词:  
slitty",
849,"avulse","英:/ə'vʌls/ 美:/əˈvʌls/","vt. （因事故或手术把身体一部分）抽出，撕脱


时 态:  
avulsed, avulsing, avulses",
850,"deferential","英:/defə'renʃ(ə)l/ 美:/ˌdɛfəˈrɛnʃəl/","adj. 恭敬的

副 词:  
deferentially",
851,"docile","英:/'dəʊsaɪl/ 美:/ˈdɑsəl/","- adj. 容易教的;易驾驶的;驯服的
- adv. 容易教地;易驾驶地;驯服地
- n. 容易教;易驾驶;驯服

副 词:  
docilely

名 词:  
docility",
852,"genuflect","英:/'dʒenjʊflekt/ 美:/'dʒɛnjuflɛkt/","vi. 屈膝(尤指宗教礼节中)

时 态:  
genuflected, genuflecting, genuflects 

名 词:  
genuflection",
853,"resignation","英:/rezɪg'neɪʃ(ə)n/ 美:/ˌrɛzɪɡ'neʃən/","- n. 辞职
- 辞职书
- 顺从, 听从",
854,"resigned","英:/rɪ'zaɪnd/ 美:/rɪˈzaɪnd/","- adj. 顺从的；已辞职的；己放弃的
- v. 辞职；顺从（resign的过去分词）


副 词:  
resignedly",
855,"sequacious","英:/sɪ'kweɪʃəs/ 美:/sɪ'kweʃəs/","- adj. (推理或推理者)前后一致的;连贯的
- 盲从的;无独立见解的;无创见的;奴性的

名 词:  
sequacity",
856,"pervert","英:/pə'vɜːt/ 美:/pɚ'vɝt/","- vt. 使堕落, 把…引入邪路, 使变坏
- 滥用
- 做伪证；妨碍司法公正

时 态:  
perverted, perverting, perverts 

形容词:  
pervertible",
857,"putrefy","英:/'pjuːtrɪfaɪ/ 美:/ˈpjutrəˌfaɪ/","- vi. 化脓，腐烂；堕落
- vt. 腐烂，化脓；堕落


时 态:  
puttrefied, puttrefying, puttrefies",
858,"interlope","/ˌɪntə'ləʊp/","vi. 闯入；干涉；侵占他人权益",
859,"anesthesia","英:/ˌænɪs'θiːzɪə/ 美:/ˌænəs'θiʒə/","- n. 感觉缺失,麻木
- 麻醉",
860,"incredulity","英:/ɪnkrə'djuːlətɪ/ 美:/ˌɪnkrə'djʊləti/","n. 怀疑",
861,"incredulous","英:/ɪn'kredjʊləs/ 美:/ɪn'krɛdʒələs/","adj. 表示怀疑的, 不相信的

副 词:  
incredulously",
862,"credulity","英:/krɪ'djuːlɪtɪ/ 美:/krɪ'duləti/","n. 轻信,易受骗",
863,"gestate","英:/dʒe'steɪt/ 美:/'dʒɛstet/","- vt. 使怀孕
- vi. 孕育，创案


时 态:  
gestated, gestating, gestates",
864,"procreate","英:/'prəʊkrɪeɪt/ 美:/ˈprokriˌet/","vt. & vi. 生(儿、女),生育,生殖

时 态:  
procreated, procreating, procreates 

形容词:  
procreant

名 词:  
procreation

名 词:  
procreator",
865,"pullulate","英:/'pʌljʊleɪt/ 美:/ˈpʌljəˌlet/","- vi.  (种子)发芽，(树枝)抽条
- 充满；富于；聚集；群集
- 发展

时 态:  
pullulated，pullulating，pullulates 

名 词:  
pullulation",
866,"complicity","英:/kəm'plɪsɪtɪ/ 美:/kəm'plɪsəti/","n. 合谋, 串通",
867,"collusion","英:/kə'l(j)uːʒ(ə)n/ 美:/kə'lʊʒən/","n. 共谋,勾结,串通",
868,"connivance","英:/kə'naɪv(ə)ns/ 美:/kəˈnaɪvəns/","n. 默许;纵容",
869,"emphatic","英:/ɪm'fætɪk/ 美:/ɪm'fætɪk/","adj. 加强语气的；着重的；显著的


副 词:  
emphatically",
870,"hard-bitten","英:/'hɑ:d'bitən/ 美:/ˈhɑrdˈbɪtn../","adj. 坚强的,顽强的",
871,"fortitude","英:/'fɔːtɪtjuːd/ 美:/ˈfɔrtɪˌtud/","n. 坚韧, 刚毅

形容词:  
fortitudinous",
872,"self-assertion","英:/'selfə'sə:ʃən/ 美:/ˌsɛlfəˈsə..ʃən/","n. 自作主张

形容词:  
self-assertive

副 词:  
self-assertively

名 词:  
self-assertiveness",
873,"staunch","英:/stɔːn(t)ʃ/ 美:/stɔntʃ/","- adj. 坚固的；坚定的；忠诚的
- vt. 止住；止血


比较级:  
stauncheralso stancher 
staunchestalso stanchest",
874,"tenacious","英:/tɪ'neɪʃəs/ 美:/tə'neʃəs/","- adj. 粘牢的, 粘住的, 抓牢的
- 紧握的, 不放松的, 坚决的
- 坚持的,顽强的,固执的
- 坚韧的
- (指记忆力)持久的, 强的, 记性好的",
875,"catharsis","英:/kə'θɑːsɪs/ 美:/kə'θɑrsɪs/","n. 宣泄，情绪的抒发；导泻，通便；感情(受艺术的作用而起的)净化",
